head,head_type,relation,tail,tail_type,confidence,sentence
coastal zones,Geo_Location,occurs_in,"Jeddah Province,",Geo_Location,0.775,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
coastal zones,Geo_Location,occurs_in,Kingdom of,Geo_Location,0.756,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
coastal zones,Geo_Location,occurs_in,"Saudi Arabia,",Geo_Location,0.718,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
"Saudi Arabia,",Geo_Location,occurs_in,Kingdom of,Geo_Location,0.607,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
sea level rise,Climate_Driver,causes,inundation,Env_Event,0.979,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
sea level rise,Climate_Driver,affects,coastal zones,Geo_Location,0.613,"This study estimates the vulnerability to inundation for 2100 in coastal zones in Jeddah Province, Kingdom of Saudi Arabia, under various sea level rise (SLR) scenarios of 1, 2, 5, and 10 m."
low,Ecosystem,affects,"flat topography,",Ecosystem,0.73,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
low,Ecosystem,occurs_in,river deltas,Geo_Location,0.953,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
low,Ecosystem,occurs_in,coastal plains,Geo_Location,0.951,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
"flat topography,",Ecosystem,occurs_in,river deltas,Geo_Location,0.972,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
"flat topography,",Ecosystem,occurs_in,coastal plains,Geo_Location,0.957,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
river deltas,Geo_Location,occurs_in,coastal plains,Geo_Location,0.833,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
relative,Climate_Driver,affects,low,Ecosystem,0.635,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
relative,Climate_Driver,affects,"flat topography,",Ecosystem,0.976,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
relative,Climate_Driver,affects,river deltas,Geo_Location,0.757,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
relative,Climate_Driver,occurs_in,coastal plains,Geo_Location,0.666,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
relative,Climate_Driver,contributes_to,sea level rise,Climate_Driver,0.644,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
sea level rise,Climate_Driver,affects,low,Ecosystem,0.82,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
sea level rise,Climate_Driver,affects,"flat topography,",Ecosystem,0.982,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
sea level rise,Climate_Driver,affects,river deltas,Geo_Location,0.904,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
sea level rise,Climate_Driver,increases,relative,Climate_Driver,0.907,"With their low lying, flat topography, river deltas and coastal plains are extremely prone to relative sea level rise and other water-related hazards."
flood,Env_Event,occurs_in,Southeast Asian deltas.,Geo_Location,0.961,"This calls for accurate elevation data for flood risk assessments, especially in the densely populated Southeast Asian deltas."
sea level rise,Climate_Driver,causes,flood,Env_Event,0.985,"As the lack of accurate elevation data hampers the assessment of flood risk, studying available information on land elevation and its reliability is essential, particularly in the context of sea level rise impact."
flood,Env_Event,occurs_in,Ayeyarwady Delta,Geo_Location,0.988,"The AD-DEM provides a high-accuracy, open and freely available, and independent elevation dataset suitable for evaluating land elevation data in the Ayeyarwady Delta and studying topography and flood risk at large scale, while small-scale investigations may benefit from a FABDEM locally improved with data from the AD-DEM."
"sea level rise,",Climate_Driver,increases,sea level rise,Climate_Driver,0.929,"Based on the latest Intergovernmental Panel on Climate Change (IPCC) projections of sea level rise, the consequences of DEM selection for assessing the impact of sea level rise in the Ayeyarwady Delta are shown."
"sea level rise,",Climate_Driver,occurs_in,Ayeyarwady,Geo_Location,0.756,"Based on the latest Intergovernmental Panel on Climate Change (IPCC) projections of sea level rise, the consequences of DEM selection for assessing the impact of sea level rise in the Ayeyarwady Delta are shown."
sea level rise,Climate_Driver,increases,"sea level rise,",Climate_Driver,0.982,"Based on the latest Intergovernmental Panel on Climate Change (IPCC) projections of sea level rise, the consequences of DEM selection for assessing the impact of sea level rise in the Ayeyarwady Delta are shown."
relative sea level rise,Climate_Driver,causes,flooding,Env_Event,0.985,We highlight the need for addressing particularly low-lying populated areas within the most seaward districts with risk mitigation and adaptation strategies while also the more inland delta population should be made aware of facing a higher risk of flooding due to relative sea level rise in the next  100 years.
sea level rise,Climate_Driver,causes,coastal flooding,Env_Event,0.979,Future sea level rise (SLR) and associated increases in the frequency and intensity of coastal flooding poses significant threats to coastal communities and transit systems.
sea level rise,Climate_Driver,affects,coastal,Ecosystem,0.99,Future sea level rise (SLR) and associated increases in the frequency and intensity of coastal flooding poses significant threats to coastal communities and transit systems.
coastal flooding,Env_Event,affects,coastal,Ecosystem,0.953,Future sea level rise (SLR) and associated increases in the frequency and intensity of coastal flooding poses significant threats to coastal communities and transit systems.
flood,Env_Event,causes,flood,Env_Event,0.802,"Here, we construct an event-specific flood damage cost estimation framework for transit systems, simulating separately flood ingress into underground spaces."
"flood threshold elevations,",Climate_Variable,increases,"tidal ranges,",Climate_Variable,0.971,"Local and regional differences in flood threshold elevations, tidal ranges, and nontidal variability lead to differences in the SLR required for this chronic flooding to emerge."
"flood threshold elevations,",Climate_Variable,causes,flooding,Env_Event,0.98,"Local and regional differences in flood threshold elevations, tidal ranges, and nontidal variability lead to differences in the SLR required for this chronic flooding to emerge."
"tidal ranges,",Climate_Variable,increases,"flood threshold elevations,",Climate_Variable,0.978,"Local and regional differences in flood threshold elevations, tidal ranges, and nontidal variability lead to differences in the SLR required for this chronic flooding to emerge."
"tidal ranges,",Climate_Variable,causes,flooding,Env_Event,0.986,"Local and regional differences in flood threshold elevations, tidal ranges, and nontidal variability lead to differences in the SLR required for this chronic flooding to emerge."
flood,Env_Event,increases,"tidal ranges,",Climate_Variable,0.943,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
flood,Env_Event,causes,flooding,Env_Event,0.799,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
"tidal ranges,",Climate_Variable,causes,flood,Env_Event,0.972,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
"tidal ranges,",Climate_Variable,causes,flooding,Env_Event,0.984,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
extreme skew surges,Climate_Driver,causes,flood,Env_Event,0.98,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
extreme skew surges,Climate_Driver,increases,"tidal ranges,",Climate_Variable,0.978,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
extreme skew surges,Climate_Driver,causes,flooding,Env_Event,0.986,"Lower flood thresholds, smaller tidal ranges, and larger extreme skew surges mean chronic flooding can emerge with less SLR."
water level,Climate_Variable,causes,flooding,Env_Event,0.988,"First, tidedriven water level variability dominates weatherdriven water level variability when determining locations' propensities for frequent and chronic flooding under SLR."
flood,Env_Event,occurs_in,global,Geo_Location,0.956,We develop the Rapid Assessment Framework for Frequent Flood Transitions under SLR (RAFFFTS) to apply these findings to locations not previously considered in global coastal flood hazard studies.
flood,Env_Event,occurs_in,coastal areas.,Ecosystem,0.863,Elevated flood risk due to sea level rise is expected to increase migration from coastal areas.
sea level rise,Climate_Driver,causes,flood,Env_Event,0.978,Elevated flood risk due to sea level rise is expected to increase migration from coastal areas.
sea level rise,Climate_Driver,affects,coastal areas.,Ecosystem,0.783,Elevated flood risk due to sea level rise is expected to increase migration from coastal areas.
coastal,Ecosystem,occurs_in,Central Vietnam.,Geo_Location,0.799,This study aims to improve the knowledge base on this topic by collecting and analyzing unique survey data of flood-prone coastal residents in Central Vietnam.
flood,Env_Event,causes,flood,Env_Event,0.6,"Regression analyses reveal that respondents who implemented in situ flood adaptation, and thereby reduced their flood risk, are less inclined to migrate."
global,Climate_Driver,contributes_to,"sea level rise,",Climate_Driver,0.656,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
"sea level rise,",Climate_Driver,contributes_to,"storm surge,",Climate_Driver,0.972,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
"sea level rise,",Climate_Driver,causes,coastal floods.,Env_Event,0.984,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
"storm surge,",Climate_Driver,contributes_to,"sea level rise,",Climate_Driver,0.953,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
"storm surge,",Climate_Driver,causes,coastal floods.,Env_Event,0.983,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
coastal floods.,Env_Event,occurs_in,global,Climate_Driver,0.944,"Elevation data based on NASAs Shuttle Radar Topography Mission (SRTM) have been widely used to evaluate threats from global sea level rise, storm surge, and coastal floods."
coastal areas,Geo_Location,occurs_in,United States.,Geo_Location,0.939,We compare assessments based on SRTM data against references employing high-accuracy bare-earth elevation data generated from lidar data available for coastal areas of the United States.
sea level,Climate_Driver,causes,flood,Env_Event,0.966,"Coastal analyses based on SRTM data thus appear to greatly underestimate sea level and flood threats, especially at lower elevations."
sea level rise,Climate_Driver,contributes_to,storm surge,Climate_Driver,0.965,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
sea level rise,Climate_Driver,causes,flooding,Env_Event,0.987,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
sea level rise,Climate_Driver,contributes_to,SLR,Climate_Driver,0.94,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
storm surge,Climate_Driver,contributes_to,sea level rise,Climate_Driver,0.966,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
storm surge,Climate_Driver,causes,flooding,Env_Event,0.983,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
storm surge,Climate_Driver,contributes_to,SLR,Climate_Driver,0.974,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
SLR,Climate_Driver,contributes_to,sea level rise,Climate_Driver,0.511,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
SLR,Climate_Driver,contributes_to,storm surge,Climate_Driver,0.84,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
SLR,Climate_Driver,causes,flooding,Env_Event,0.984,Standard approaches to determining the impacts of sea level rise (SLR) on storm surge flooding employ numerical models reflecting present conditions with modified sea states for a given SLR scenario.
hurricane,Climate_Driver,contributes_to,storm surge,Climate_Driver,0.971,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
hurricane,Climate_Driver,contributes_to,"sea level,",Climate_Driver,0.959,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
storm surge,Climate_Driver,contributes_to,hurricane,Climate_Driver,0.96,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
storm surge,Climate_Driver,contributes_to,"sea level,",Climate_Driver,0.866,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
"sea level,",Climate_Driver,contributes_to,hurricane,Climate_Driver,0.956,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
"sea level,",Climate_Driver,contributes_to,storm surge,Climate_Driver,0.975,"We utilize a numerical model of the Mississippi and Alabama coast to simulate the response of hurricane storm surge to changes in sea level, land use/land cover, and land surface elevation for past (1960), present (2005), and future (2050) conditions."
Soil salinization,Climate_Variable,contributes_to,sea level rise,Climate_Driver,0.944,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
Soil salinization,Climate_Variable,affects,coastal,Ecosystem,0.982,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
Soil salinization,Climate_Variable,affects,wetlands,Ecosystem,0.991,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
sea level rise,Climate_Driver,increases,Soil salinization,Climate_Variable,0.928,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
sea level rise,Climate_Driver,affects,coastal,Ecosystem,0.949,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
sea level rise,Climate_Driver,affects,wetlands,Ecosystem,0.99,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
agricultural,Ecosystem,contributes_to,sea level rise,Climate_Driver,0.572,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
agricultural,Ecosystem,affects,coastal,Ecosystem,0.855,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
agricultural,Ecosystem,affects,wetlands,Ecosystem,0.973,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
wetlands,Ecosystem,occurs_in,coastal,Ecosystem,0.891,Soil salinization caused by sea level rise threatens coastal agricultural soils and geochemically important wetlands worldwide.
seawater intrusion,Env_Event,causes,flooding,Env_Event,0.577,The prediction of outcomes is made difficult by the concomitant and sometimes contrasting actions of flooding and seawater intrusion on partly acclimated and non-acclimated environments.
glaciers,Ecosystem,occurs_in,ice sheets,Ecosystem,0.602,The Earths climate is changing; ice sheets and glaciers are melting and coastal hazards and sea level are rising in response.
sea level,Climate_Driver,affects,ice sheets,Ecosystem,0.986,The Earths climate is changing; ice sheets and glaciers are melting and coastal hazards and sea level are rising in response.
sea level,Climate_Driver,affects,glaciers,Ecosystem,0.987,The Earths climate is changing; ice sheets and glaciers are melting and coastal hazards and sea level are rising in response.
sea level,Climate_Driver,causes,coastal,Env_Event,0.978,The Earths climate is changing; ice sheets and glaciers are melting and coastal hazards and sea level are rising in response.
climate change.,Climate_Driver,affects,low-lying coastal areas,Geo_Location,0.8,"With a total population of over 300 million people situated on coasts, including 20 of the planets 33 megacities (over 10 million people), low-lying coastal areas represent one of the most vulnerable areas to the impacts of climate change."
sea levels,Climate_Driver,causes,"flooding,",Env_Event,0.986,"are already experiencing frequent high tide flooding, and these events will increase in frequency, depth, duration and extent as sea levels continue to rise at an accelerating rate throughout the 21st century and beyond."
"hurricanes,",Env_Event,contributes_to,storms,Env_Event,0.732,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
"hurricanes,",Env_Event,contributes_to,sea-level rise,Climate_Driver,0.906,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
storms,Env_Event,contributes_to,"hurricanes,",Env_Event,0.895,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
storms,Env_Event,contributes_to,sea-level rise,Climate_Driver,0.896,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
sea-level rise,Climate_Driver,contributes_to,"hurricanes,",Env_Event,0.895,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
sea-level rise,Climate_Driver,contributes_to,storms,Env_Event,0.673,"While short-term extreme events such as hurricanes, El Nios and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state."
sea-level rise,Climate_Driver,increases,wave action,Climate_Driver,0.982,"However, the effects of sea-level rise are compounded with other hazards, such as increased wave action or a loss of ecosystems."
wave action,Climate_Driver,contributes_to,sea-level rise,Climate_Driver,0.928,"However, the effects of sea-level rise are compounded with other hazards, such as increased wave action or a loss of ecosystems."
sea-level rise,Climate_Driver,causes,saltwater intrusion,Env_Event,0.989,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
sea-level rise,Climate_Driver,affects,coastal aquifers,Ecosystem,0.982,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
"coastal infrastructure,",Human_Activity,contributes_to,sea-level rise,Climate_Driver,0.954,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
"coastal infrastructure,",Human_Activity,causes,saltwater intrusion,Env_Event,0.974,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
"coastal infrastructure,",Human_Activity,affects,coastal aquifers,Ecosystem,0.979,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
saltwater intrusion,Env_Event,affects,coastal aquifers,Ecosystem,0.922,"As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications."
climate change,Climate_Driver,affects,coastal zones.,Ecosystem,0.697,This article provides an overview of the status on adaptation to climate change in coastal zones.
storm tide),Climate_Driver,causes,coastal flood,Env_Event,0.981,peak of a storm tide) in coastal flood inundation events.
storm tide),Climate_Driver,causes,inundation,Env_Event,0.98,peak of a storm tide) in coastal flood inundation events.
coastal flood,Env_Event,causes,inundation,Env_Event,0.849,peak of a storm tide) in coastal flood inundation events.
inundation,Env_Event,causes,coastal flood,Env_Event,0.824,peak of a storm tide) in coastal flood inundation events.
storm tide,Climate_Driver,increases,sea level.,Climate_Variable,0.985,Additional factors become increasingly important when increased water-level thresholds are met during the combination of a storm tide and increased mean sea level.
sea level.,Climate_Variable,contributes_to,storm tide,Climate_Driver,0.764,Additional factors become increasingly important when increased water-level thresholds are met during the combination of a storm tide and increased mean sea level.
wave overtopping,Climate_Driver,increases,river flow,Climate_Driver,0.906,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
wave overtopping,Climate_Driver,causes,flood,Env_Event,0.981,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
wave overtopping,Climate_Driver,causes,inundation,Env_Event,0.984,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
wave overtopping,Climate_Driver,increases,sea-level,Climate_Variable,0.971,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
wave overtopping,Climate_Driver,occurs_in,"Fleetwood,",Geo_Location,0.577,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
river flow,Climate_Driver,contributes_to,wave overtopping,Climate_Driver,0.91,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
river flow,Climate_Driver,causes,flood,Env_Event,0.982,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
river flow,Climate_Driver,causes,inundation,Env_Event,0.984,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
river flow,Climate_Driver,increases,sea-level,Climate_Variable,0.978,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
flood,Env_Event,causes,inundation,Env_Event,0.717,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
flood,Env_Event,occurs_in,"Fleetwood,",Geo_Location,0.986,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
flood,Env_Event,occurs_in,England.,Geo_Location,0.988,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
inundation,Env_Event,contributes_to,wave overtopping,Climate_Driver,0.701,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
inundation,Env_Event,causes,flood,Env_Event,0.784,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
inundation,Env_Event,increases,sea-level,Climate_Variable,0.766,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
inundation,Env_Event,occurs_in,"Fleetwood,",Geo_Location,0.944,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
inundation,Env_Event,occurs_in,England.,Geo_Location,0.972,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
sea-level,Climate_Variable,contributes_to,wave overtopping,Climate_Driver,0.855,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
sea-level,Climate_Variable,increases,river flow,Climate_Driver,0.943,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
sea-level,Climate_Variable,causes,flood,Env_Event,0.986,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
sea-level,Climate_Variable,causes,inundation,Env_Event,0.985,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
England.,Geo_Location,occurs_in,"Fleetwood,",Geo_Location,0.6,"This research incorporates factors such as wave overtopping and river flow in a range of flood inundation scenarios of future sea-level projections for a UK case study of Fleetwood, northwest England."
sea level,Climate_Driver,contributes_to,wave overtopping,Climate_Driver,0.779,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
sea level,Climate_Driver,contributes_to,river forcing,Climate_Driver,0.651,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
sea level,Climate_Driver,causes,coastal flood,Env_Event,0.977,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
wave overtopping,Climate_Driver,increases,sea level,Climate_Driver,0.924,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
wave overtopping,Climate_Driver,contributes_to,river forcing,Climate_Driver,0.86,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
wave overtopping,Climate_Driver,causes,coastal flood,Env_Event,0.967,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
river forcing,Climate_Driver,increases,sea level,Climate_Driver,0.901,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
river forcing,Climate_Driver,contributes_to,wave overtopping,Climate_Driver,0.614,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
river forcing,Climate_Driver,causes,coastal flood,Env_Event,0.978,With increasing mean sea level it is shown that wave overtopping and river forcing have an important bearing on the cost of coastal flood events.
surge-wave-river,Env_Event,causes,flooding,Env_Event,0.955,This research demonstrates that under scenarios of joint extreme surge-wave-river events the cost of flooding can be increased by up to a factor of 8 compared with an increase in extent of up to a factor of 3 relative to surge alone event.
surge-wave-river,Env_Event,contributes_to,surge,Env_Event,0.916,This research demonstrates that under scenarios of joint extreme surge-wave-river events the cost of flooding can be increased by up to a factor of 8 compared with an increase in extent of up to a factor of 3 relative to surge alone event.
surge,Env_Event,contributes_to,surge-wave-river,Env_Event,0.935,This research demonstrates that under scenarios of joint extreme surge-wave-river events the cost of flooding can be increased by up to a factor of 8 compared with an increase in extent of up to a factor of 3 relative to surge alone event.
surge,Env_Event,causes,flooding,Env_Event,0.968,This research demonstrates that under scenarios of joint extreme surge-wave-river events the cost of flooding can be increased by up to a factor of 8 compared with an increase in extent of up to a factor of 3 relative to surge alone event.
flood extent,Env_Event,affects,coastal,Ecosystem,0.988,This shows that relying simply on flood extent and volume can under-predict the actual economic impact felt by a coastal community.
"climate change,",Climate_Driver,causes,floods,Env_Event,0.989,"Due to climate change, extreme floods are projected to increase in the 21st century in Europe."
floods,Env_Event,occurs_in,Europe.,Geo_Location,0.981,"Due to climate change, extreme floods are projected to increase in the 21st century in Europe."
river discharge,Climate_Driver,affects,Dan River,Geo_Location,0.707,This paper analyzes the risk of compound flooding in the Dan River under different river discharge and Klaipda Strait water level probabilities.
floods,Env_Event,occurs_in,Klaipda,Geo_Location,0.96,"Additionally, we examine how a water level rise of 1 m in the Klaipda Strait could impact Dan River floods in Klaipda city."
sea level,Climate_Driver,causes,floods,Env_Event,0.918,A sea level rise of 1 m could lead to an increase in areas affected by Dan floods by up to three times.
